index,month1,month2,month3,month4,month5,month6,month7,month8
0,0,0,7,78,95,137,168,272
1,0,0,1,4,5,7,2,3
2,0,0,1,10,7,8,11,20
3,0,0,3,38,49,79,99,162
4,0,0,2,26,34,43,56,87
5,0,0,75,1680,1121,2246,2032,9487
6,0,0,26,874,876,1834,1906,5737
